ENST00000417201.3,ENST00000483428.1,ENST00000491850.5	ENSG00000119446.13	2005.55	1906.55	546.00	7.25	9.95	546.00	0.00	7.12	10.00	6.10541	8.11911	0.0486654	8.58072	11.412	0.0486513
ENST00000352312.5,ENST00000503905.1,ENST00000505024.1,ENST00000506204.1,ENST00000507830.1,ENST00000508140.5,ENST00000510833.5,ENST00000533201.1	ENSG00000163885.11	1994.00	1895.00	1.00	0.01	0.02	1.00	0.00	0.48	0.67	0.143701	0.874617	0.271047	0.202237	1.23029	0.270935
ENST00000314583.7,ENST00000428394.6,ENST00000464274.5,ENST00000468693.5,ENST00000473883.5,ENST00000479994.1,ENST00000481314.5,ENST00000487290.5,ENST00000488033.5,ENST00000491824.1,ENST00000495491.5,ENST00000497391.5	ENSG00000180353.10	1848.66	1749.66	6386.00	92.34	126.79	6386.00	0.00	90.64	127.40	87.8509	93.3464	0.0104349	123.644	131.353	0.0104184
ENST00000314332.5,ENST00000396984.1	ENSG00000180596.7	571.81	472.81	7479.05	400.19	549.50	7479.04	0.85	388.27	545.76	379.344	397.011	0.00780609	533.749	558.548	0.00778227
ENST00000386347.1	ENSG00000209082.1	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0
ENST00000410773.1	ENSG00000222705.1	322.00	223.00	0.00	0.00	0.00	0.00	0.00	0.11	0.15	1.80346e-06	0.330222	0.654667	2.53339e-06	0.464357	0.654758
ENST00000443768.1	ENSG00000228937.1	1479.00	1380.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	4.51386e-07	0.0536543	0.658114	6.34388e-07	0.075482	0.658022
ENST00000433433.1,ENST00000434764.1	ENSG00000229743.2	1779.00	1680.00	0.00	0.00	0.00	0.00	0.00	0.08	0.11	0.000291878	0.213584	0.574722	0.000377416	0.300313	0.574807
ENST00000433725.1	ENSG00000230820.2	425.00	326.00	0.00	0.00	0.00	0.00	0.00	0.08	0.11	6.70208e-07	0.225402	0.660085	9.42434e-07	0.317006	0.660045
ENST00000426453.1	ENSG00000231441.1	551.00	452.00	0.00	0.00	0.00	0.00	0.00	0.05	0.08	9.9362e-07	0.161429	0.660252	1.39786e-06	0.226897	0.660198
ENST00000562821.5,ENST00000562856.1	ENSG00000261522.5	1144.50	1045.50	0.00	0.00	0.00	0.00	0.00	0.16	0.23	0.00120339	0.468435	0.597471	0.00139356	0.65833	0.597532
ENST00000574771.1	ENSG00000262561.1	208.00	109.00	0.00	0.00	0.00	0.00	0.00	0.23	0.32	7.52715e-06	0.672556	0.653472	1.05818e-05	0.94586	0.653467
ENST00000578583.1	ENSG00000265656.1	447.00	348.00	1.00	0.07	0.10	1.00	0.00	0.14	0.20	0.00188273	0.334619	0.473225	0.0024447	0.47042	0.473294
ENST00000581225.5,ENST00000582111.2	ENSG00000266379.6	298.00	199.00	0.00	0.00	0.00	0.73	0.74	0.34	0.47	0.00823397	0.773057	0.452782	0.0196988	1.09501	0.452737
ENST00000586389.1	ENSG00000267655.1	714.00	615.00	5.00	0.21	0.28	5.00	0.00	0.24	0.34	0.0712034	0.433953	0.271893	0.100577	0.610742	0.271889
ENST00000616182.1	ENSG00000274641.1	381.00	282.00	2567.90	230.38	316.33	2567.90	1.27	223.55	314.23	214.904	232.242	0.0134024	302.294	326.668	0.0133842
ENST00000579643.2	ENSG00000277198.1	281.00	182.00	0.00	0.00	0.00	0.10	0.30	0.15	0.21	3.80716e-06	0.441932	0.6499	5.35604e-06	0.621566	0.649958
ENST00000617407.1	ENSG00000278389.1	450.00	351.00	1.00	0.07	0.10	1.00	0.00	0.14	0.20	0.00337006	0.334025	0.472227	0.00473693	0.469628	0.472164
ENST00000642235.1,ENST00000644129.1	ENSG00000284999.1	524.50	425.50	0.00	0.00	0.00	0.00	0.00	0.13	0.18	0.00254733	0.313054	0.487661	0.00302807	0.439608	0.487689
